기간,국가명,수출건수,수출금액,수입건수,수입금액,무역수지
2015.01,중국,"116,932","12,083,947","334,522","8,143,271","3,940,676"
2015.01,미국,"65,888","5,561,545","509,564","3,625,062","1,936,484"
2015.01,일본,"54,017","2,251,307","82,480","3,827,247","-1,575,940"
2015.01,홍콩,"31,348","2,170,483","12,595","175,487","1,994,996"
2015.01,베트남,"38,008","2,163,836","15,720","704,086","1,459,749"
2015.01,싱가포르,"16,100","1,717,014","9,785","826,658","890,356"
2015.01,앙골라,232,"1,552,811",11,"1,276","1,551,535"
2015.01,대만,"18,002","1,060,959","21,862","1,513,687","-452,728"
2015.01,인도,"15,265","995,701","6,911","435,419","560,282"
2015.01,멕시코,"9,787","797,796","4,558","141,819","655,977"
2015.01,호주,"8,495","760,970","17,793","1,623,383","-862,413"
2015.01,필리핀,"9,076","720,436","6,268","275,217","445,219"
2015.01,사우디아라비아,"3,386","714,824",512,"1,686,373","-971,549"
2015.01,버뮤다,13,"713,033",1,1,"713,032"
2015.01,인도네시아,"14,279","699,581","6,915","830,697","-131,116"
2015.01,마샬군도,27,"664,693",4,1,"664,691"
2015.01,브라질,"9,642","656,207","1,306","458,020","198,188"
2015.01,태국,"13,344","540,661","8,948","417,507","123,154"
2015.01,터키,"4,864","495,245","1,693","65,658","429,587"
2015.01,독일,"11,374","474,884","111,258","1,611,616","-1,136,732"
2015.01,말레이시아,"10,883","474,759","11,268","947,885","-473,126"
2015.01,아랍에미리트 연합,"6,725","465,000",601,"819,774","-354,775"
2015.01,영국,"6,690","423,696","23,153","469,589","-45,892"
2015.01,이란,"2,182","379,977",140,"144,317","235,660"
2015.01,캐나다,"5,730","357,350","7,177","382,965","-25,615"
2015.01,슬로바키아,"2,519","355,129",749,"21,534","333,595"
2015.01,러시아 연방,"5,133","331,275","1,467","986,909","-655,634"
2015.01,파나마,692,"304,673",87,"2,124","302,549"
2015.01,폴란드,"5,613","291,051","1,282","49,988","241,062"
2015.01,이탈리아,"4,451","280,556","20,572","472,902","-192,347"
2015.01,네덜란드,"6,559","239,745","3,884","427,300","-187,555"
2015.01,벨기에,"1,658","221,951","2,195","264,009","-42,058"
2015.01,프랑스,"4,185","179,821","11,788","431,479","-251,658"
2015.01,스페인,"3,317","177,619","4,595","279,300","-101,681"
2015.01,이집트,"2,622","169,175",117,"17,731","151,445"
2015.01,체코공화국,"1,638","161,908","1,465","44,756","117,152"
2015.01,칠레,"1,677","157,415","1,667","414,720","-257,305"
2015.01,페루,"1,130","137,706",584,"131,436","6,271"
2015.01,이라크,695,"132,449",13,"574,965","-442,517"
2015.01,슬로베니아,511,"126,703",253,"8,658","118,045"
2015.01,몰타,215,"115,916",185,"5,959","109,956"
2015.01,콜롬비아,"1,240","108,753",310,"61,467","47,286"
2015.01,이스라엘,"1,954","107,960","1,492","84,432","23,528"
2015.01,우즈베크,911,"107,048",57,"1,838","105,211"
2015.01,헝가리,"1,479","97,454","1,205","47,195","50,259"
2015.01,뉴질랜드,"1,608","97,161","14,245","129,372","-32,211"
2015.01,요르단,"1,956","95,437",73,"7,319","88,118"
2015.01,방글라데시,"2,370","94,349",670,"27,897","66,452"
2015.01,남아프리카공화국,"1,824","92,111",477,"133,301","-41,190"
2015.01,쿠웨이트,731,"87,188",70,"790,580","-703,392"
2015.01,아르헨티나,835,"86,429",318,"70,485","15,944"
2015.01,알제리,318,"84,239",18,"173,914","-89,675"
2015.01,포루투갈,698,"78,093","1,720","17,096","60,997"
2015.01,맨섬,1,"70,500",0,0,"70,500"
2015.01,미얀마,"1,059","69,782",546,"38,876","30,906"
2015.01,오스트리아,"2,260","69,263","2,355","96,657","-27,395"
2015.01,에쿠아도르,582,"66,514",85,"48,407","18,107"
2015.01,오만,466,"66,254",90,"507,752","-441,498"
2015.01,아일랜드,403,"65,969","1,028","75,021","-9,052"
2015.01,카타르,549,"65,258",155,"1,821,923","-1,756,665"
2015.01,파키스탄,"1,565","64,837",730,"24,930","39,907"
2015.01,파푸아 뉴기니,97,"57,231",26,"2,146","55,085"
2015.01,캄보디아,"2,051","55,533",426,"20,761","34,772"
2015.01,나이지리아,599,"51,151",99,"76,773","-25,622"
2015.01,스웨덴,"1,205","49,493","2,692","216,573","-167,080"
2015.01,푸에르토리코,143,"45,463",154,"12,590","32,873"
2015.01,카자흐스탄,799,"42,927",44,"10,145","32,782"
2015.01,리비아,"3,197","42,334",10,"2,456","39,878"
2015.01,루마니아,823,"39,318","1,143","44,028","-4,710"
2015.01,덴마크,956,"31,937","2,146","62,966","-31,029"
2015.01,스위스,896,"30,196","3,508","199,444","-169,248"
2015.01,스리랑카,"1,105","23,491",395,"8,011","15,480"
2015.01,모로코,322,"22,211",224,"9,006","13,204"
2015.01,핀란드,588,"21,561","1,234","103,562","-82,001"
2015.01,과테말라,539,"21,209",200,"11,633","9,575"
2015.01,우크라이나,602,"21,143",342,"119,032","-97,889"
2015.01,케냐,282,"20,960",63,"1,805","19,154"
2015.01,우루과이,218,"19,884",63,"3,517","16,368"
2015.01,시리아,119,"19,724",0,0,"19,724"
2015.01,그리스,652,"19,431",163,"23,682","-4,251"
2015.01,레바논,291,"18,869",41,"1,736","17,134"
2015.01,가나,621,"18,428",29,"3,546","14,882"
2015.01,몽골,"1,234","18,410",823,"5,534","12,876"
2015.01,리투아니아,281,"18,193",445,"4,504","13,689"
2015.01,아제르바이잔,147,"16,210",5,44,"16,166"
2015.01,바레인,256,"15,810",66,"57,796","-41,986"
2015.01,도미니카 공화국,301,"15,711",123,"7,303","8,408"
2015.01,수단,257,"15,398",19,"1,471","13,927"
2015.01,투르크멘,101,"15,358",0,3,"15,355"
2015.01,피지,84,"14,840",15,415,"14,425"
2015.01,파라과이,136,"14,665",15,709,"13,957"
2015.01,베네주엘라,127,"14,448",15,697,"13,751"
2015.01,튀니지,167,"14,175",257,"4,737","9,439"
2015.01,조지아,119,"13,039",30,"1,320","11,719"
2015.01,예맨,"1,097","12,231",35,"141,718","-129,487"
2015.01,노르웨이,464,"11,978","1,991","208,543","-196,565"
2015.01,라오스,173,"11,578",31,"2,478","9,100"
2015.01,뉴 칼레도니아,79,"11,416",6,"3,784","7,632"
2015.01,엘살바도르,136,"11,029",62,"1,568","9,461"
2015.01,코트디봐르,203,"10,596",12,"1,492","9,104"
2015.01,탄자니아,182,"10,548",24,"2,333","8,215"
2015.01,불가리아,299,"10,176",357,"6,484","3,693"
2015.01,니카라과,230,"10,034",61,"1,673","8,360"
2015.01,팔레스타인 해방기구,109,"9,542",4,295,"9,246"
2015.01,코스타리카,231,"8,630",371,"15,969","-7,339"
2015.01,이디오피아,125,"7,797",119,"1,913","5,884"
2015.01,볼리비아,117,"7,592",21,"26,573","-18,982"
2015.01,온두라스,159,"7,295",45,820,"6,475"
2015.01,키르기스스탄,306,"6,831",10,330,"6,501"
2015.01,크로아티아,125,"6,306",79,541,"5,765"
2015.01,트리니다드 토바고,92,"6,275",18,"39,104","-32,829"
2015.01,라트비아,200,"5,946",141,"4,401","1,545"
2015.01,아프카니스탄,167,"5,654",10,2,"5,652"
2015.01,에스토니아,170,"5,141",128,"8,771","-3,631"
2015.01,세네갈,109,"5,074",74,"3,246","1,828"
2015.01,모잠비크,59,"4,986",3,13,"4,973"
2015.01,브루나이,109,"4,937",25,"63,216","-58,279"
2015.01,지부티,48,"4,913",0,0,"4,913"
2015.01,괌,261,"4,173",16,138,"4,035"
2015.01,세르비아,103,"4,170",39,"9,713","-5,543"
2015.01,마카오,137,"3,966",42,375,"3,592"
2015.01,베닝,60,"3,786",3,305,"3,481"
2015.01,사이프러스,101,"3,330",11,321,"3,009"
2015.01,사모아,23,"3,233",2,28,"3,205"
2015.01,기니,46,"2,767",62,"3,223",-456
2015.01,아이티,79,"2,713",17,620,"2,093"
2015.01,콩고,46,"2,652",49,"6,117","-3,465"
